Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
MEX,"Benito Juarez Intl","Mexico City",,Mexico,CUN,"Cancun International",Cancun,,Mexico,261,104386
MEX,"Benito Juarez Intl","Mexico City",,Mexico,MTY,"Mariano Escobedo Intl",Monterrey,,Mexico,312,92585
MEX,"Benito Juarez Intl","Mexico City",,Mexico,GDL,"Miguel Hidalgo Intl",Guadalajara,,Mexico,255,82161
MEX,"Benito Juarez Intl","Mexico City",,Mexico,TIJ,"A.L. Rodriguez Intl",Tijuana,,Mexico,99,47072
MEX,"Benito Juarez Intl","Mexico City",,Mexico,MID,"M. Crescencio Rejon",Merida,,Mexico,104,39554
MEX,"Benito Juarez Intl","Mexico City",,Mexico,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",50,27562
MEX,"Benito Juarez Intl","Mexico City",,Mexico,IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",71,23260
MEX,"Benito Juarez Intl","Mexico City",,Mexico,VSA,"C.Rovirosa Perez Intl",Villahermosa,,Mexico,85,22768
MEX,"Benito Juarez Intl","Mexico City",,Mexico,TGZ,"Angel Albino Corzo Intl","Tuxtla Gutierrez",,Mexico,67,21980
MEX,"Benito Juarez Intl","Mexico City",,Mexico,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,19,21297
MEX,"Benito Juarez Intl","Mexico City",,Mexico,CUU,"R. Fierro Villalobos",Chihuahua,,Mexico,49,20533
MEX,"Benito Juarez Intl","Mexico City",,Mexico,PVR,"G. Diaz Ordaz Intl","Puerto Vallarta",,Mexico,86,20413
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SJD,"Los Cabos Intl","San Jose del Cabo",,Mexico,53,19815
MEX,"Benito Juarez Intl","Mexico City",,Mexico,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,31,19699
MEX,"Benito Juarez Intl","Mexico City",,Mexico,BOG,"El Dorado Intl",Bogota,,Colombia,37,19294
MEX,"Benito Juarez Intl","Mexico City",,Mexico,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",28,18241
MEX,"Benito Juarez Intl","Mexico City",,Mexico,MIA,"Miami International",Miami,FL,"United States",39,16922
MEX,"Benito Juarez Intl","Mexico City",,Mexico,TRC,"Francisco Sarabia Intl",Torreon,,Mexico,59,16092
MEX,"Benito Juarez Intl","Mexico City",,Mexico,DFW,"Dallas/Ft Worth Intl","Dallas/Fort Worth",TX,"United States",31,15786
MEX,"Benito Juarez Intl","Mexico City",,Mexico,REX,"Lucio Blanco Intl",Reynosa,,Mexico,49,15577
MEX,"Benito Juarez Intl","Mexico City",,Mexico,VER,"Heriberto Jara Intl",Veracruz,,Mexico,85,15249
MEX,"Benito Juarez Intl","Mexico City",,Mexico,OAX,"Xoxocotlan Intl",Oaxaca,,Mexico,59,14958
MEX,"Benito Juarez Intl","Mexico City",,Mexico,CJS,"Abraham Gonzalez Intl","Ciudad Juarez",,Mexico,44,14758
MEX,"Benito Juarez Intl","Mexico City",,Mexico,HMO,"I.Pesqueira Garcia",Hermosillo,,Mexico,46,14716
MEX,"Benito Juarez Intl","Mexico City",,Mexico,LAS,"Mccarran Intl","Las Vegas",NV,"United States",31,14668
MEX,"Benito Juarez Intl","Mexico City",,Mexico,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,19,14522
MEX,"Benito Juarez Intl","Mexico City",,Mexico,LIM,"Jorge Chavez Intl",Lima,,Peru,24,14521
MEX,"Benito Juarez Intl","Mexico City",,Mexico,CUL,"Fed. De Bachigualato",Culiacan,,Mexico,50,13411
MEX,"Benito Juarez Intl","Mexico City",,Mexico,ACA,"Acapulco International",Acapulco,,Mexico,100,13398
MEX,"Benito Juarez Intl","Mexico City",,Mexico,HUX,"Bahias de Huatulco Intl",Huatulco,,Mexico,56,13265
MEX,"Benito Juarez Intl","Mexico City",,Mexico,ORD,"O'Hare International",Chicago-O'Hare,IL,"United States",21,12896
MEX,"Benito Juarez Intl","Mexico City",,Mexico,MZT,"Rafael Buelna Intl",Mazatlan,,Mexico,40,12290
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SFO,"San Francisco Intl","San Francisco",CA,"United States",21,11081
MEX,"Benito Juarez Intl","Mexico City",,Mexico,TAM,"F. Javier Mina Intl",Tampico,,Mexico,42,10984
MEX,"Benito Juarez Intl","Mexico City",,Mexico,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",38,10042
MEX,"Benito Juarez Intl","Mexico City",,Mexico,MXL,"R.Sanchez Taboada Intl",Mexicali,,Mexico,21,10025
MEX,"Benito Juarez Intl","Mexico City",,Mexico,HAV,"Jose Marti Intl",Havana,,Cuba,15,9925
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SLP,"Ponciano Arriaga Intl","San Luis Potosi",,Mexico,51,9490
MEX,"Benito Juarez Intl","Mexico City",,Mexico,LAP,"Manuel Marquez de Leon","La Paz",,Mexico,31,9438
MEX,"Benito Juarez Intl","Mexico City",,Mexico,GUA,"La Aurora International","Guatemala City",,Guatemala,16,8941
MEX,"Benito Juarez Intl","Mexico City",,Mexico,GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,12,8815
MEX,"Benito Juarez Intl","Mexico City",,Mexico,MCO,"Orlando Intl",Orlando,FL,"United States",25,8785
MEX,"Benito Juarez Intl","Mexico City",,Mexico,ZIH,"Ixtapa/Zihuatanejo International",Ixtapa/Zihuatanejo,,Mexico,49,8533
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SJO,"Juan Santamaria Intl","San Jose",,"Costa Rica",14,8390
MEX,"Benito Juarez Intl","Mexico City",,Mexico,CME,"Ciudad del Carmen International","Ciudad del Carmen",,Mexico,32,8292
MEX,"Benito Juarez Intl","Mexico City",,Mexico,BJX,"Del Bajio International",Leon/Guanajuato,,Mexico,64,8186
MEX,"Benito Juarez Intl","Mexico City",,Mexico,PXM,"Puerto Escondido International","Puerto Escondido",,Mexico,29,7967
MEX,"Benito Juarez Intl","Mexico City",,Mexico,TAP,"Tapachula East International",Tapachula,,Mexico,27,7477
MEX,"Benito Juarez Intl","Mexico City",,Mexico,AGU,"Aguascalientes International Airport",Aguascalientes,,Mexico,49,7218
MEX,"Benito Juarez Intl","Mexico City",,Mexico,SCL,"Arturo M Benitez",Santiago,,Chile,8,7179
