Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,BOG,"El Dorado Intl",Bogota,,Colombia,90,46797
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,CCS,"Simon Bolivar International",Caracas,,Venezuela,52,42536
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,SJO,"Juan Santamaria Intl","San Jose",,"Costa Rica",73,29903
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,SCL,"Arturo M Benitez",Santiago,,Chile,25,27106
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,CUN,"Cancun International",Cancun,,Mexico,37,24509
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",22,23898
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,MIA,"Miami International",Miami,FL,"United States",36,22774
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,MEX,"Benito Juarez Intl","Mexico City",,Mexico,34,22106
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,HAV,"Jose Marti Intl",Havana,,Cuba,34,19001
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,LIM,"Jorge Chavez Intl",Lima,,Peru,30,15769
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,MCO,"Orlando Intl",Orlando,FL,"United States",20,15516
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,PUJ,"Punta Cana International","Punta Cana",,"Dominican Republic",27,15320
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,MDE,"Jose Marie Cordova",Medellin,,Colombia,36,14367
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,SAL,"El Salvador Intl","San Salvador",,"El Salvador",34,14336
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,SDQ,"Las Americas International","Santo Domingo",,"Dominican Republic",33,14240
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,12,13104
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,EZE,"Ministro Pistarini","Buenos Aires",BA,Argentina,14,12806
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,GYE,"Jose Joaquin de Olmedo",Guayaquil,,Ecuador,33,12452
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,UIO,"Mariscal Sucre Intl",Quito,,Ecuador,38,11898
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",11,11387
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",12,11090
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,CLO,"Alfonso B Aragon International",Cali,,Colombia,31,10775
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,GUA,"La Aurora International","Guatemala City",,Guatemala,30,10370
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,MIA,"Miami International",Miami,FL,"United States",12,9880
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,VLN,"Arturo Michelena Intl",Valencia,,Venezuela,14,9028
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,CAP,"Hugo Chavez Intl","Cap Haitien",,Haiti,84,8758
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,JBQ,"Dr. Joaquin Balaguer Airport","Santo Domingo",,"Dominican Republic",136,8596
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",9,8424
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,GIG,"Galeao-A.C.Jobim Intl","Rio De Janeiro",RJ,Brazil,8,8422
