Origin,Origin Name,Origin City,Origin State,Origin Country,Destination,Destination Name,Destination City,Destination State,Destination Country,Direct Flights,Total Seats
PAP,Toussaint Louverture,Port Au Prince,,Haiti,FLL,Ft Lauderdale Intl,Fort Lauderdale,FL,United States,11,11949
PAP,Toussaint Louverture,Port Au Prince,,Haiti,JFK,John F Kennedy Intl,New York-JFK,NY,United States,6,5545
PAP,Toussaint Louverture,Port Au Prince,,Haiti,MIA,Miami International,Miami,FL,United States,6,4940
PAP,Toussaint Louverture,Port Au Prince,,Haiti,CAP,Hugo Chavez Intl,Cap Haitien,,Haiti,42,4379
PAP,Toussaint Louverture,Port Au Prince,,Haiti,JBQ,Dr. Joaquin Balaguer Airport,Santo Domingo,,Dominican Republic,68,4298
PAP,Toussaint Louverture,Port Au Prince,,Haiti,PTY,"Tocumen Intl, Panama R",Panama City,,Panama,6,2838
PAP,Toussaint Louverture,Port Au Prince,,Haiti,CUR,Hato International,Curacao,,Curacao,27,2526
PAP,Toussaint Louverture,Port Au Prince,,Haiti,SDQ,Las Americas International,Santo Domingo,,Dominican Republic,13,2312
PAP,Toussaint Louverture,Port Au Prince,,Haiti,YUL,Pierre E. Trudeau Intl,Montreal-PET,QC,Canada,6,1520
PAP,Toussaint Louverture,Port Au Prince,,Haiti,SCU,Antonio Maceo Intl,Santiago de Cuba,,Cuba,9,1301
PAP,Toussaint Louverture,Port Au Prince,,Haiti,CMW,Ignacio Agramonte International,Camaguey,,Cuba,8,1076
PAP,Toussaint Louverture,Port Au Prince,,Haiti,PLS,Providenciales Intl,Providenciales,,Turks and Caicos Islands,22,943
PAP,Toussaint Louverture,Port Au Prince,,Haiti,ATL,Hartsfield-Jackson ATL,Atlanta,GA,United States,3,882
PAP,Toussaint Louverture,Port Au Prince,,Haiti,PTP,Le Raizet,Pointe A Pitre,,Guadeloupe,4,684
PAP,Toussaint Louverture,Port Au Prince,,Haiti,BOS,Logan International,Boston,MA,United States,1,450
PAP,Toussaint Louverture,Port Au Prince,,Haiti,HAV,Jose Marti Intl,Havana,,Cuba,4,332
PAP,Toussaint Louverture,Port Au Prince,,Haiti,KIN,Norman Manley Intl,Kingston,,Jamaica,1,30
